_healpix_29,source_id,ra,dec,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ztf_14_obj,ztf_16,ztf_22,panstarrs_1_obj,des_y6,delve_2,tic_v82,allwise,neowise,twomass,erass1,hsc_p3_r,skymapper_4_photometry
528659419725428952,1057318835428596096,169.9881036824331,65.84729793562252,-2946.717969616033,181.94739529449876,8.527628,9.497674,7.546079,True,True,True,True,False,False,True,True,True,True,False,False,False
528939962106592461,1057879895596316416,175.08760130595263,67.24494559386969,260.64113277648585,-3159.946800417806,11.484356,12.382505,10.552212,True,True,True,True,False,False,True,True,True,True,False,False,False
532489294899333105,1064978578888570496,145.374121043978,65.19209698102347,869.3213522030328,-793.7435187767327,18.43831,19.071733,17.705397,True,True,True,True,False,False,True,True,True,True,False,False,False
536603140992865908,1073206263054159104,158.84150877915906,69.446793871661,-1653.6375443251518,-641.5296492899556,10.719594,12.188779,9.528312,True,True,True,True,False,False,True,True,True,True,False,False,False
538470860895227948,1076941716370493696,159.23472209527336,71.18091532625374,-1857.3434408510748,-463.5079992502577,16.611965,17.15443,15.927201,True,True,True,True,False,False,True,True,True,True,False,False,False
546959418418296574,1093918828739878528,129.09378163676524,67.2952414926635,-1070.527606648736,67.81479629140435,8.615115,9.513581,7.6258993,True,True,True,True,False,False,True,True,True,True,False,False,False
547117965735228569,1094235934764378112,128.94437156732053,68.06670261378376,-837.3263519140706,-562.4909065287461,10.549882,11.88625,9.407161,True,True,True,True,False,False,True,True,True,True,False,False,False
548676666494422832,1097353325107339776,126.46147954966092,69.02796394356187,-691.1648994688926,-1276.3182193769326,13.745982,15.973085,12.236307,True,True,True,True,False,False,True,True,True,True,False,False,False
552329302642115327,1104658583442099840,95.31697508508252,65.96653451958898,463.0528484968182,-1038.6446062482598,14.310418,15.250413,13.355305,True,True,True,True,False,False,True,True,True,True,False,False,False
552727173247201592,1105454320624498688,90.19920634310616,68.13654479996053,420.7767872928321,-1096.644930081757,12.042384,13.556888,10.837172,True,True,True,True,False,False,True,True,True,True,False,False,False
552727235574668443,1105454458063448448,90.21127622822172,68.15145916271501,417.022295895378,-1099.3722830279182,11.712924,13.163753,10.5245495,True,True,True,True,False,False,True,True,True,True,False,False,False
